Orange Stay Sydney CBD,Sydney CBD,Sydney,2.5,7.5,orange-stay-sydney-cbd,64
Mary MacKillop Place,North Sydney,Sydney,3.5,8.9,mary-mackillop-place,417
Bridgeview Hotel Willoughby,,Sydney,3.0,8.1,bridgeview-willoughby,169
Greenacre Hotel,,Sydney,3.0,7.3,greenacre,452
Neutral Bay Lodge,,Sydney,3.0,8.1,neutral-bay-lodge,385
Nesuto Woolloomooloo,Woolloomooloo,Sydney,3.0,8.5,nesuto-woolloomooloo,378
Mariners Court Hotel,Woolloomooloo,Sydney,3.5,8.4,mariners-court,1236
Manly Paradise Motel & Apartments,Manly,Sydney,3.5,8.2,manly-paradise-motel-apartments,830
Edgecliff Lodge Motel,Sydney Eastern Suburbs,Sydney,3.0,7.6,edgecliff-lodge-motel,636
ibis Budget - Enfield,,Sydney,3.0,7.6,ibis-budget-enfield,1276
Glenferrie Lodge,Kirribilli,Sydney,3.0,8.3,glenferrie-lodge,965
Highfield Private Hotel,Potts Point,Sydney,3.0,6.7,highfield,305
Arena Hotel (formerly Sleep Express Motel),,Sydney,3.0,7.1,sleep-express-motel,616
The Maisonette,Potts Point,Sydney,3.0,8.2,the-maisonette,227
Hotel Bondi,Bondi,Sydney,3.0,8.2,bondi-sydney,1638
790 on George Backpackers,Sydney CBD,Sydney,3.0,7.7,on-george-backpackers,393
Nomads Sydney,Sydney CBD,Sydney,3.0,7.2,base-sydney,1036
Hotel Hacienda,,Sydney,3.0,7.4,y-city-south,848
Springfield Lodge,Potts Point,Sydney,3.5,8.3,springfield,626
Mercantile Hotel,Sydney CBD,Sydney,3.0,7.7,mercantile,780
Southend Hotel,Maroubra,Sydney,3.0,8.0,sands,318
Lotus Stay Manly - Apartment 297,Manly,Sydney,3.5,7.1,air-conditioned-apartment,64
Parkside Apartments Parramatta,Parramatta,Sydney,3.5,8.2,parkside-apartments,58
Avoca Randwick by Sydney Lodges,Randwick,Sydney,3.0,8.6,avoca-lodge,293
Marine Parade,Manly,Sydney,2.5,8.2,marine-parade,108
The Jolly Swagman Sydney,Potts Point,Sydney,3.5,7.6,the-jolly-swagman-backpackers-hostel-sydney,395
Oasis on Beamish Hotel,Campsie,Sydney,3.0,7.3,oasis-on-beamish-campsie,153
Markets Hotel,,Sydney,3.0,8.0,markets,455
Bert's Backpackers,Sydney Eastern Suburbs,Sydney,3.0,7.0,the-captain-cook,88
Dalziel Lodge,North Sydney,Sydney,3.0,7.9,dalziel-lodge,334
